Idx Definition	Portuguese
1429 _NN_GSTRING_ERR	Nome incorreto, utilize de 5 a 10 caracteres para o nome da guilda.
1430 _NN_CANT_USE_ID	Este nome não está disponível para uso.
1431 _NN_OPEN_HELLGATE	Entrada do Calabouço Infernal está disponível.
1432 _DN_TOWNBOUNS	Bônus Drop (Cidadania) deste canal é %s.
1433 _DD_KINGDOMWAR_START	Início da Guerra entre Reinos
1434 _DD_KINGDOMWAR_END	Término da Guerra entre Reinos
1435 _NN_Check_User_Info	Cidadania: %s / Fama: %s
1436 _NN_LockSetMessage	Item Travado
1437 _NN_CanelMessage	Item Destravado
1438 _NN_LockCheckMessage	Um dos dois está travado, o item não pode ser trocado.
1439 _NN_LockPsSetMessage	Senha do item é (%s).
1440 _NN_LockPsChangeMessage	Senha do item alterou para (%s).
1441 _DN_ServerWarTo	Seu canal declarou guerra para o canal %s.
1442 _DN_ServerWarFrom	Canal %s declarou guerra para seu canal.
1443 _NN_LockPsWrongPassMessage	A senha deve conter de 4 a 6 números.
1444 _ND_GenDarkShadow	Sombra Negra apareceu no centro do Castelo de Gelo!
1445 _NN_Refine_Down	Refinação Reduzida.
1446 _NN_CantCreateGOD2	Personagem Sub-Celestial não pode ser criado neste servidor.
1447 _NN_CantUseIt	Não pode ser utilizado neste servidor.
1448 _NN_AlreadyClosing	Missão Encerrada.
1449 _NN_NotMatchMission	Não confere com a condição da missão.
1450 _NN_ClearMission	Missão Concluída! Você recebeu um item.
1451 _NN_NOT_TRANS3ITEM	Item Celestial não pode ser utilizado.
1452 _NN_FUll_CARRY	Seu inventário está cheio.
1453 _NN_APPLY_EVENT	Salvando ponto WP...
1454 _NN_CANT_APPLY_EVENT	Possível salvar mais do que 10 pedaços disto.
1455 _NN_KINGDOM_BLUE	Hekalotia (Azul)
1456 _NN_KINGDOM_RED	Akeronia (Vermelho)
1457 _NN_SWAR_AHEAD	Está em guerra.
1458 _NN_SWAR_TRUCE	Está em trégua.
1459 _NN_GIVEUP_SERVERWAR	%s recusa a guerra.
1460 _ND_SERVERCLAN	Este servidor é o reino de %s.
1461 _NN_Charm_Stone	Somente para Celestial Nível 200 ou superior.
1462 _SS_Combin_12Succ	Jogador %s obteve sucesso ao refinar item +%s!!
1463 _SS_Guild_to_drop	Jogador %s em %s, aumentou drop em %s.
1464 _NN_PARTY_TEL	Você foi para a cidade, pois o líder do grupo foi derrotado.
1465 _DN_LIMITWARNING	Mensagem de 3 horas.
1466 _DN_LIMITTIME	Mensagem de 5 horas.
1467 _DN_GUILDMESSAGE	Você não é um membro desta guilda.
1468 _DN_CHARSELECTMESSAGE	Selecione um personagem.
1469 _NN_WAITFORDELCHAR	Excluindo personagem. Aguarde...
1470 _NN_WAITFORLOGIN	Realizando login. Aguarde...
1471 _NN_PASSWORDERROR	Senha incorreta.
1472 _NN_ISNOTALLOWEDACCOUNT	Sua conta está bloqueada.
1473 _NS_GETEXP	*** EXP + %s ***
1474 _NN_GETJEWALITEM	Adquiriu jóia.
1475 _SS_PLUSMILEAGEPOINT	Milhagem : %s (apêndice:%s)
1476 _NN_FAILURE	Resultou em falha.
1477 _SN_WANTEQUIPITEM	Você deve equipar %s.
1478 _SN_Item_Arrived	Chegou o item %s
1479 _DN_Mileage_Point	Ponto de Milhagem - %s.
1480 _DN_BeforLearnSkill	Para aprender a skill %s você deve aprender todas as skills desta linhagem. 
1481 _SN_Learn_Skill	Você aprendeu a skill [%s].
1482 _NN_Maximum_Point_320_Now	Não pode atribuir mais de %d pontos
1483 _NN_NOT_SUBJECT_TO_EVENT	Não pertence ao evento.
1484 _DN_LIMITDURING_3HOUR	Tempo conectado acumulado em %s.
1485 _NN_LIMITDURING_OVER	Jogue menos para evitar a fadiga. Taxa de drop reduzida em 50%. Descanse!
1486 _SN_AUCTION_START	Leilão iniciado. Itens do leilão de hoje -%s-.
1487 _NN_AUCTION_END	Leilão de hoje foi desativado.
1488 _DS_AUCTION_PERIOD	Tempo restante do leilão: %s segundos. Últimos ofertantes: %s.
1489 _SSD_AUCTION_SUC	Oferta de item no leilão por %s %s %s
1490 _SN_AUCTION_BID	Lances do leilão de hoje %s %s.
1491 _NN_AUCTION_PLACE	Área não é segura.
1492 _NN_NEWBIEEVENTSERVER	Recomendado somente no servidor novato.
1493 _NN_LIMIT_FAME	Limite de Fama.
1494 _SN_APPEAR_MOB	[%s] apareceu.
1495 _SN_JOINRESTRICTED	Acesso restrito ao reino [%s].
1496 _SD_RAID_BONUS	é o reino que foi atacado. Dobro de EXP para o reino correspondente.
1497 _DD_KILLSCORE	Pontos de PvP (Kills): %d,%d
1498 _NN_GOD2CHARONLY_	Somente personagem Celestial.
1499 _NN_MOREKILLPOINT	Faltam pontos de PvP (Kills).
1500 _DD_KINGDOMWAR_BEGIN	Guerra de Reino será iniciada após %s minutos. A Guerra de Reino desta semana será realizada no canal %s.
1501 _DN_CHANNELWAR_BEGIN	A Guerra de Torres será iniciada em %s minutos.
1502 _NN_CHANNELWAR_ZONE	Você só pode participar da Guerra de Torres do seu Canal.
1503 _SN_GUILDZONE_NPC_1_	%s é a Dona desta Zona de Guilda.
1504 _SN_GUILDZONE_NPC_2_	%s Foi designada como Guilda Desafiante.
1505 _SN_CHANNELWAR_DROP_	O Reino vencedor da Guerra de Torres é o Reino %s . Taxa de Drop foi aumentada.
1506 _SN_KINGDOMWAR_DROP_	O Vencedor da Guerra de Reinos foi o Reino %s . Taxa de Drop foi aumentada.
1513 _DN_NO_TOWNSPEOPLE	Voc� n�o possui cidadania.
1514 _DN_ANOTHER_TOWNSPEOPLE	Voc� j� possui cidadania em outro servidor.
1515 _DN_WAR_JOIN_TOWNSPEOPLE	Voc� n�o pode tornar-se cidad�o durante a Guerra.
1516 _DN_TOWN_SOUL_BUFF	A Kibita lhe forneceu a ben��o.
1517 _DN_TOWN_SOUL_NOBUFF	Entregue um Resto de Lactolerium para receber a Ben��o

